marketplace_id,order_day,order_week,gl,product_family,units,ops
1,2017-01-01,2017-01-07,Amazon_Pantry,Consumables,9460.696330680428,46576.22427394874
1,2017-01-02,2017-01-07,Amazon_Pantry,Consumables,13828.318506715865,61148.4342957516
1,2017-01-03,2017-01-07,Amazon_Pantry,Consumables,12308.348366462778,59960.63271081221
1,2017-01-04,2017-01-07,Amazon_Pantry,Consumables,11912.80710113671,58991.54465447267
1,2017-01-05,2017-01-07,Amazon_Pantry,Consumables,10817.883315027339,54032.01765790145
1,2017-01-06,2017-01-07,Amazon_Pantry,Consumables,10585.85095887284,51928.49627410727
1,2017-01-07,2017-01-07,Amazon_Pantry,Consumables,12170.592880710581,61172.92493857834
1,2017-01-08,2017-01-14,Amazon_Pantry,Consumables,14468.694254787457,63383.543120723945
1,2017-01-09,2017-01-14,Amazon_Pantry,Consumables,12385.589620285167,58211.500810656406
1,2017-01-10,2017-01-14,Amazon_Pantry,Consumables,10700.052751821062,52852.62422308407
1,2017-01-11,2017-01-14,Amazon_Pantry,Consumables,10542.714349663986,48846.78256131013
1,2017-01-12,2017-01-14,Amazon_Pantry,Consumables,10575.444626716228,46533.74180811271
1,2017-01-13,2017-01-14,Amazon_Pantry,Consumables,10330.361799573555,48503.72525374504
1,2017-01-14,2017-01-14,Amazon_Pantry,Consumables,11325.737967541529,54062.20888140664
1,2017-01-15,2017-01-21,Amazon_Pantry,Consumables,12174.306543702009,57837.266536959134
1,2017-01-16,2017-01-21,Amazon_Pantry,Consumables,12938.49581861422,56406.35046130925
1,2017-01-17,2017-01-21,Amazon_Pantry,Consumables,10913.1308754578,51318.12280820894
1,2017-01-18,2017-01-21,Amazon_Pantry,Consumables,10047.671370887214,47551.96527904608
1,2017-01-19,2017-01-21,Amazon_Pantry,Consumables,10212.786803649184,43660.804896480375
1,2017-01-20,2017-01-21,Amazon_Pantry,Consumables,9149.706454420872,42666.46465752812
1,2017-01-21,2017-01-21,Amazon_Pantry,Consumables,10358.973083970577,49766.31278983336
1,2017-01-22,2017-01-28,Amazon_Pantry,Consumables,14121.465259193783,62736.51747504599
1,2017-01-23,2017-01-28,Amazon_Pantry,Consumables,13433.458354533399,62592.4011043543
1,2017-01-24,2017-01-28,Amazon_Pantry,Consumables,11293.543110426548,55022.28954877996
1,2017-01-25,2017-01-28,Amazon_Pantry,Consumables,10786.452945089834,51753.751692043465
1,2017-01-26,2017-01-28,Amazon_Pantry,Consumables,10211.599794414458,51132.82321519269
1,2017-01-27,2017-01-28,Amazon_Pantry,Consumables,9475.549697367696,44334.60050547298
1,2017-01-28,2017-01-28,Amazon_Pantry,Consumables,10011.79695523762,50603.143928162855
1,2017-01-29,2017-02-04,Amazon_Pantry,Consumables,13563.807507685355,62787.63805895028
1,2017-01-30,2017-02-04,Amazon_Pantry,Consumables,11506.099325983196,59710.811899953515
1,2017-01-31,2017-02-04,Amazon_Pantry,Consumables,11196.622137335757,56017.442627321274
1,2017-02-01,2017-02-04,Amazon_Pantry,Consumables,11424.12265001607,57716.58292110081
1,2017-02-02,2017-02-04,Amazon_Pantry,Consumables,9980.9914223305,46856.06662788154
1,2017-02-03,2017-02-04,Amazon_Pantry,Consumables,9550.69473497158,44190.9104551673
