timestamp,value
1/1/21 0:00,20.771412
1/1/21 0:01,19.098968
1/1/21 0:03,16.556054
1/1/21 0:04,21.188096
1/1/21 0:06,16.901388
1/1/21 0:07,18.334096
1/1/21 0:09,16.544638
1/1/21 0:10,14.432678
1/1/21 0:12,15.951006
1/1/21 0:13,17.09546
1/1/21 0:15,19.45001
1/1/21 0:16,17.905996
1/1/21 0:18,16.19645
1/1/21 0:19,18.205666
1/1/21 0:21,21.373606
1/1/21 0:22,14.56967
1/1/21 0:24,17.968784
1/1/21 0:25,14.535422
1/1/21 0:27,18.162856
1/1/21 0:28,16.516098
1/1/21 0:30,20.10643
1/1/21 0:31,19.110384
1/1/21 0:33,18.082944
1/1/21 0:34,19.198858
1/1/21 0:36,19.15034
1/1/21 0:37,15.962422
1/1/21 0:39,17.886018
1/1/21 0:40,15.237506
1/1/21 0:42,18.582394
1/1/21 0:43,20.936944
1/1/21 0:45,17.400838
1/1/21 0:46,19.07899
1/1/21 0:48,20.594464
1/1/21 0:49,14.709516
1/1/21 0:51,19.527068
1/1/21 0:52,16.450456
1/1/21 0:54,17.503582
1/1/21 0:55,20.214882
1/1/21 0:57,15.816868
1/1/21 0:58,20.737164
1/1/21 1:00,18.120046
1/1/21 1:01,21.071082
1/1/21 1:03,16.09656
1/1/21 1:04,15.842554
1/1/21 1:06,17.689092
1/1/21 1:07,14.79799
1/1/21 1:09,15.528614
1/1/21 1:10,17.440794
1/1/21 1:12,15.21182
1/1/21 1:13,19.666914
1/1/21 1:15,14.292832
1/1/21 1:16,15.72554
1/1/21 1:18,21.342212
1/1/21 1:19,18.003032
1/1/21 1:21,16.350566
1/1/21 1:22,20.42037
1/1/21 1:24,19.53563
1/1/21 1:25,19.215982
1/1/21 1:27,15.82543
1/1/21 1:28,18.485358
1/1/21 1:30,19.983708
1/1/21 1:31,17.412254
1/1/21 1:33,20.985462
1/1/21 1:34,15.080536
1/1/21 1:36,19.03618
1/1/21 1:37,15.234652
1/1/21 1:39,19.201712
1/1/21 1:40,20.169218
1/1/21 1:42,16.741564
1/1/21 1:43,17.983054
1/1/21 1:45,17.02411
1/1/21 1:46,17.497874
1/1/21 1:48,15.671314
1/1/21 1:49,18.648036
1/1/21 1:51,19.15034
1/1/21 1:52,20.337604
1/1/21 1:54,16.698754
1/1/21 1:55,16.972738
1/1/21 1:57,20.043642
1/1/21 1:58,18.00874
1/1/21 2:00,14.4127
1/1/21 2:01,21.33365
1/1/21 2:03,18.09436
1/1/21 2:04,16.21072
1/1/21 2:06,17.492166
1/1/21 2:07,16.707316
1/1/21 2:09,14.835092
1/1/21 2:10,20.394684
1/1/21 2:12,16.727294
1/1/21 2:13,18.199958
1/1/21 2:15,19.66406
1/1/21 2:16,20.09216
1/1/21 2:18,20.874156
1/1/21 2:19,15.428724
1/1/21 2:21,16.855724
1/1/21 2:22,19.401492
1/1/21 2:24,15.428724
1/1/21 2:25,20.828492
1/1/21 2:27,15.76835
1/1/21 2:28,14.795136
1/1/21 2:30,18.99337
1/1/21 2:31,19.852424
1/1/21 2:33,19.684038
1/1/21 2:34,15.094806
1/1/21 2:36,14.666706
1/1/21 2:37,16.036626
1/1/21 2:39,19.047596
1/1/21 2:40,18.70797
1/1/21 2:42,17.874602
1/1/21 2:43,15.631358
1/1/21 2:45,16.935636
1/1/21 2:46,14.686684
1/1/21 2:48,20.697208
1/1/21 2:49,18.947706
1/1/21 2:51,15.02631
1/1/21 2:52,17.6948
1/1/21 2:54,19.313018
1/1/21 2:55,14.718078
1/1/21 2:57,18.13717
1/1/21 2:58,14.435532
