marketplace_id,order_day,order_week,gl,product_family,units,ops,country
1,2017-01-01,2017-01-07,Amazon_Pantry,Consumables,9460.696330680428,46576.22427394874,US
1,2017-01-02,2017-01-07,Amazon_Pantry,Consumables,13828.318506715865,61148.4342957516,US
1,2017-01-03,2017-01-07,Amazon_Pantry,Consumables,12308.348366462778,59960.63271081221,US
1,2017-01-04,2017-01-07,Amazon_Pantry,Consumables,11912.807101136708,58991.54465447267,US
1,2017-01-05,2017-01-07,Amazon_Pantry,Consumables,10817.88331502734,54032.017657901444,US
1,2017-01-06,2017-01-07,Amazon_Pantry,Consumables,10585.850958872841,51928.49627410727,US
1,2017-01-07,2017-01-07,Amazon_Pantry,Consumables,12170.592880710581,61172.92493857834,US
1,2017-01-08,2017-01-14,Amazon_Pantry,Consumables,14468.694254787457,63383.543120723945,US
1,2017-01-09,2017-01-14,Amazon_Pantry,Consumables,12385.589620285169,58211.500810656406,US
1,2017-01-10,2017-01-14,Amazon_Pantry,Consumables,10700.052751821062,52852.62422308407,US
1,2017-01-11,2017-01-14,Amazon_Pantry,Consumables,10542.714349663986,48846.78256131013,US
1,2017-01-12,2017-01-14,Amazon_Pantry,Consumables,10575.444626716228,46533.74180811272,US
1,2017-01-13,2017-01-14,Amazon_Pantry,Consumables,10330.361799573557,48503.72525374504,US
1,2017-01-14,2017-01-14,Amazon_Pantry,Consumables,11325.737967541529,54062.20888140664,US
1,2017-01-15,2017-01-21,Amazon_Pantry,Consumables,12174.306543702007,57837.26653695914,US
1,2017-01-16,2017-01-21,Amazon_Pantry,Consumables,12938.495818614221,56406.350461309245,US
1,2017-01-17,2017-01-21,Amazon_Pantry,Consumables,10913.1308754578,51318.12280820894,US
1,2017-01-18,2017-01-21,Amazon_Pantry,Consumables,10047.671370887214,47551.96527904608,US
1,2017-01-19,2017-01-21,Amazon_Pantry,Consumables,10212.786803649185,43660.804896480375,US
1,2017-01-20,2017-01-21,Amazon_Pantry,Consumables,9149.706454420872,42666.46465752812,US
1,2017-01-21,2017-01-21,Amazon_Pantry,Consumables,10358.973083970575,49766.31278983336,US
1,2017-01-22,2017-01-28,Amazon_Pantry,Consumables,14121.465259193785,62736.517475045985,US
1,2017-01-23,2017-01-28,Amazon_Pantry,Consumables,13433.4583545334,62592.4011043543,US
1,2017-01-24,2017-01-28,Amazon_Pantry,Consumables,11293.543110426548,55022.28954877996,US
1,2017-01-25,2017-01-28,Amazon_Pantry,Consumables,10786.452945089834,51753.751692043465,US
1,2017-01-26,2017-01-28,Amazon_Pantry,Consumables,10211.599794414458,51132.823215192686,US
1,2017-01-27,2017-01-28,Amazon_Pantry,Consumables,9475.549697367696,44334.600505472976,US
1,2017-01-28,2017-01-28,Amazon_Pantry,Consumables,10011.796955237622,50603.14392816285,US
1,2017-01-29,2017-02-04,Amazon_Pantry,Consumables,13563.807507685357,62787.63805895027,US
1,2017-01-30,2017-02-04,Amazon_Pantry,Consumables,11506.099325983196,59710.811899953515,US
1,2017-01-31,2017-02-04,Amazon_Pantry,Consumables,11196.622137335757,56017.44262732128,US
1,2017-02-01,2017-02-04,Amazon_Pantry,Consumables,11424.12265001607,57716.58292110081,US
1,2017-02-02,2017-02-04,Amazon_Pantry,Consumables,9980.9914223305,46856.06662788153,US
1,2017-02-03,2017-02-04,Amazon_Pantry,Consumables,9550.69473497158,44190.91045516731,US
1,2017-02-04,2017-02-04,Amazon_Pantry,Consumables,10550.56306536267,53275.680646483015,US
1,2017-02-05,2017-02-11,Amazon_Pantry,Consumables,11422.586840252663,56646.21985076904,US
1,2017-02-06,2017-02-11,Amazon_Pantry,Consumables,13678.008604209628,61488.91157627098,US
1,2017-02-07,2017-02-11,Amazon_Pantry,Consumables,11649.566431051091,56825.50622349871,US
1,2017-02-08,2017-02-11,Amazon_Pantry,Consumables,11130.123796103728,47883.51648886544,US
1,2017-02-09,2017-02-11,Amazon_Pantry,Consumables,10270.724127060374,50086.920570429786,US
1,2017-02-10,2017-02-11,Amazon_Pantry,Consumables,9439.057996980004,42126.162619472474,US
1,2017-02-11,2017-02-11,Amazon_Pantry,Consumables,9994.822123512193,52438.233300037275,US
1,2017-02-12,2017-02-18,Amazon_Pantry,Consumables,12712.254449605218,56769.25128561548,US
1,2017-02-13,2017-02-18,Amazon_Pantry,Consumables,9735.41455767258,50209.414560300975,US
1,2017-02-14,2017-02-18,Amazon_Pantry,Consumables,8111.905111752359,39241.60102385091,US
1,2017-02-15,2017-02-18,Amazon_Pantry,Consumables,10982.606963548524,55494.59154782372,US
1,2017-02-16,2017-02-18,Amazon_Pantry,Consumables,9354.823003733109,44892.38752773557,US
1,2017-02-17,2017-02-18,Amazon_Pantry,Consumables,9113.475066657706,42946.93924320172,US
1,2017-02-18,2017-02-18,Amazon_Pantry,Consumables,9778.683841563028,44941.32466780413,US
1,2017-02-19,2017-02-25,Amazon_Pantry,Consumables,11208.68150526604,52897.50418349781,US
1,2017-02-20,2017-02-25,Amazon_Pantry,Consumables,11559.68039905614,55204.14723746439,US
1,2017-02-21,2017-02-25,Amazon_Pantry,Consumables,10116.870006174986,51936.207252820335,US
1,2017-02-22,2017-02-25,Amazon_Pantry,Consumables,14416.079823253796,70808.66159914476,US
1,2017-02-23,2017-02-25,Amazon_Pantry,Consumables,9733.48169668799,46405.960952547284,US
1,2017-02-24,2017-02-25,Amazon_Pantry,Consumables,8792.780564607388,41500.05029377747,US
1,2017-02-25,2017-02-25,Amazon_Pantry,Consumables,10738.217717249283,47065.16802824484,US
1,2017-02-26,2017-03-04,Amazon_Pantry,Consumables,13611.679375243935,62427.009565380686,US
1,2017-02-27,2017-03-04,Amazon_Pantry,Consumables,11504.846975631035,53100.49873879121,US
1,2017-02-28,2017-03-04,Amazon_Pantry,Consumables,11702.740695474222,54648.01691092023,US
1,2017-03-01,2017-03-04,Amazon_Pantry,Consumables,11128.324875442011,54133.940138440164,US
1,2017-03-02,2017-03-04,Amazon_Pantry,Consumables,10055.436962112622,48671.69495734812,US
1,2017-03-03,2017-03-04,Amazon_Pantry,Consumables,10252.381891349938,45802.79767768428,US
1,2017-03-04,2017-03-04,Amazon_Pantry,Consumables,12113.286607756389,58314.27821027122,US
1,2017-03-05,2017-03-11,Amazon_Pantry,Consumables,14901.830550791296,67723.60353579975,US
