,A,B,C,cat,source,id
0,-0.4102798724612392,0.3293152321291754,-0.06291744354244477,Heathly,,
1,-0.3340716993134894,0.24511104038301046,-0.0832067785250076,Heathly,,
2,-0.41550900499553434,-0.25145265057685395,-0.05482316951159885,Heathly,,
3,-0.5173108197911968,-0.005688265871234641,-0.08778562318480328,Heathly,,
4,-0.3457621880223639,0.16399545896932405,-0.043188057785031146,Heathly,,
5,-0.505561210881126,0.08053490021980501,-0.06444870789468397,Heathly,,
6,-0.4417323001057743,-0.08710474829677801,-0.004396915730912963,Heathly,,
7,-0.44324869122394117,-0.25237248092559705,-0.0714833585689178,Heathly,,
8,-0.46045194533976286,-0.08846804131118065,-0.1105305380521005,Heathly,,
9,-0.4293671396393852,-0.08716466056850236,-0.0694215440012277,Heathly,,
10,-0.45420234033975504,0.24454063952612037,-0.05460088675730456,Heathly,,
11,-0.5149818683897,-0.17233431529429757,-0.0908631040777539,Heathly,,
12,-0.17947917964301147,-0.3331865712568478,-0.12056837264180187,Heathly,,
13,-0.3763402755430341,-0.003288902920969828,-0.05176457571033895,Heathly,,
14,-0.38197221870354403,0.24638525472654035,-0.12107665367004376,Heathly,,
15,-0.38878765118582903,-0.4206718264090268,-0.07772984569024574,Heathly,,
16,-0.2896693913359205,-0.16870183238903674,-0.02935004190793928,Heathly,,
17,-0.369586930063185,0.08175518990574698,-0.06396780758316391,Heathly,,
18,-0.36905259943332325,0.2448219821661905,-0.06850259790013113,Heathly,,
19,-0.42056676736876,-0.0851827486630883,-0.07076273973890149,Heathly,,
20,-0.4416180958620665,-0.08714257853741064,-0.09080954198662924,Heathly,,
21,-0.3138044550432834,-0.0020302212881724148,-0.015081086563490768,Heathly,,
22,-0.4185931779153804,0.24362243318093477,-0.11152729978433201,Heathly,,
23,-0.3359747098318178,-0.2524103578142336,-0.09435600460160584,Heathly,,
24,-0.38194213623526185,0.329309200749,0.013218912327918133,Heathly,,
25,-0.37164447406403084,-0.17043420401141768,-0.0579619097904155,Heathly,,
26,-0.3484925393212528,0.32999271305161354,-0.07302164594287264,Heathly,,
27,-0.4164506484159532,-0.4191977723219558,-0.12004165365279798,Heathly,,
28,-0.43825316864399805,0.07798396909793064,-0.055869944297433125,Heathly,,
29,-0.48424827737186354,-0.0032341824057331844,-0.052779807950483856,Heathly,,
30,-0.385110175600249,-0.4206516507437397,-0.0887753169660609,Heathly,,
31,-0.47224368568593245,0.24478842507533222,-0.06737531076929278,Heathly,,
32,-0.35899309293640186,0.3325451666871718,-0.06326395603345375,Heathly,,
33,-0.26112342926158066,0.08050439739450398,-0.11127953518241486,Heathly,,
34,-0.38881247787959533,-0.17002014972107357,-0.037642079281403805,Heathly,,
35,-0.4298125744752577,0.16241488332788495,-0.06091397739437414,Heathly,,
36,-0.5403714308206852,-0.005688914390772092,-0.075309330236288,Heathly,,
37,-0.5197240573573524,0.16165323751612012,-0.05206783162948616,Heathly,,
38,-0.4313459782747873,0.08021200742657277,-0.05294019291689168,Heathly,,
39,-0.4435346549110683,0.32925807748612296,-0.07051383832205427,Heathly,,
40,-0.4076690220230014,-0.3388397569612401,-0.03739030874834112,Heathly,,
41,-0.380830942381524,0.3289968766236284,-0.07695162479751498,Heathly,,
42,-0.3442526765112703,-0.41838949986966034,-0.035937489979212534,Heathly,,
43,-0.4833679656666204,-0.17187963052284655,-0.06196928697814799,Heathly,,
44,-0.2773903208800617,-0.0015160518433953046,-0.0716818174375154,Heathly,,
45,-0.3450412478696158,-0.0865350294298354,-0.0531755312364226,Heathly,,
46,-0.5006116558721291,-0.422021054429577,-0.10830831908266958,Heathly,,
47,-0.34367862429043256,-0.0879393071784893,-0.10342665411836313,Heathly,,
48,-0.44181114767398066,-0.42010003717954025,-0.08069625772186917,Heathly,,
49,-0.2808436042038491,0.08221518712663112,-0.09051490595927711,Heathly,,
50,-0.3000172820847485,-0.25183249863206947,-0.03926701450473486,Heathly,,
51,-0.35858660822105515,0.07897027597168582,-0.06969152121739053,Heathly,,
52,-0.34327591652027345,0.07914182825151006,-0.07307900493285363,Heathly,,
53,-0.28000852773505613,-0.41780705960647735,-0.01857263316425764,Heathly,,
54,-0.4203108751430627,-0.003983695441948095,-0.051062348558476904,Heathly,,
55,-0.38756614579872806,0.16297930933019159,-0.05315150688114434,Heathly,,
56,-0.2907641070406681,-0.0014825801886014167,-0.084224337161658,Heathly,,
57,-0.410388900236852,-0.08647266976837749,-0.07734077983916761,Heathly,,
58,-0.28341583225291955,-0.16842205015946693,-0.05033626956999878,Heathly,,
59,-0.4029453947265385,0.16316533416526952,-0.05421528671652887,Heathly,,
60,-0.3669832412084777,-0.4206653244746808,-0.1083696628877058,Heathly,,
61,-0.43349652594078636,-0.08764368094588217,-0.10756909592084538,Heathly,,
62,-0.14224899804942615,-0.16727102891788542,-0.03468871482233793,Heathly,,
63,-0.3668738200521373,-0.17115019567752676,-0.1387777906237494,Heathly,,
64,-0.2270409165048861,-0.41867509837342826,-0.11288301229953064,Heathly,,
65,-0.3951982229030182,0.3303232443719095,-0.06819605118044797,Heathly,,
66,-0.3398997850500861,0.32947753408338504,-0.058467262913368866,Heathly,,
67,-0.27667553980927506,-0.0014821879740198143,-0.09872348829475672,Heathly,,
68,-0.33537894687026626,-0.418299667481366,-0.07177132082701973,Heathly,,
69,-0.3154433378070976,-0.17007778725048373,-0.12264464149737608,Heathly,,
70,-0.3717733083351189,0.2450766040185031,-0.1120783559405198,Heathly,,
71,-0.33772292807040655,-0.08559675573081497,-0.09686436528811333,Heathly,,
72,-0.4192115457815183,0.16278506906595208,-0.0909079125950113,Heathly,,
73,-0.27852886075974725,-0.08592720626823902,-0.049762283376529035,Heathly,,
74,-0.3512411194453456,0.3280651608687639,-0.14767375187017262,Heathly,,
75,-0.4195512158723135,-0.16955312378147572,-0.053308529875233615,Heathly,,
76,-0.22243198303980186,-0.3352232184163314,-0.06081654980502886,Heathly,,
77,-0.36335562195895965,-0.17311593354907193,-0.15838292918567012,Heathly,,
78,-0.27167226830540464,0.16257941616584493,-0.08826940389778927,Heathly,,
79,-0.2700671845800911,0.33066413070042505,-0.10867084398585651,Heathly,,
80,-0.22527369380198015,0.33219167749896383,-0.11789012273314128,Heathly,,
81,-0.34445631381227587,-0.08544460429706469,-0.05773896575351124,Heathly,,
82,-0.2516172263082982,-0.41837829905778684,-0.0800833038255424,Heathly,,
83,-0.17067355490319,-0.16712643277831984,-0.0679078251349655,Heathly,,
